"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"757271","JC467738","2019-10-10T17:00:00","2","DRIVER",,"719346",,"DODGE","UNKNOWN","IN","2017","NONE","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757364","JC467729","2019-10-10T17:00:00","1","DRIVER","1","719401",,"PONTIAC","UNKNOWN","IL",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","W","UNKNOWN/NA",,,"2",,,,,,,,,,,,,,,,,,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757295","JC467729","2019-10-10T17:00:00","2","PEDESTRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757274","JC467697","2019-10-10T16:58:00","1","BICYCLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757275","JC467697","2019-10-10T16:58:00","2","DRIVER","1","719331",,"CHEVROLET","EQUINOX","IL","2005","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","STRAIGHT AHEAD",,,"2",,,,,,"true",,,,,,,,,,,,"FRONT-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757265","JC467747","2019-10-10T16:50:00","1","DRIVER",,"719316",,"UNKNOWN","UNKNOWN","IL",,"UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,"true","true","true",,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757266","JC467747","2019-10-10T16:50:00","2","DRIVER","1","719320",,"ACURA","ACURA","IL","1991","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","true",,"2",,"SELF TOWED","UNK",,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757259","JC467734","2019-10-10T16:42:00","1","DRIVER","2","719299",,"UNKNOWN","UNKNOWN","IL","2006","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"3",,,,,,,,,,,,,,,,,"true","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757260","JC467734","2019-10-10T16:42:00","2","DRIVER","1","719307",,"TOYOTA MOTOR COMPANY, LTD.","Avalon","IL","2013","UNKNOWN","PASSENGER","PERSONAL","W","ENTERING TRAFFIC LANE FROM PARKING",,,"2",,,,,,,,,,,"true","true",,,,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757405","JC468029","2019-10-10T16:40:00","1","DRIVER",,"719447",,"CHEVROLET","TRAVERSE","IL","2012","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,,,,,"true",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757406","JC468029","2019-10-10T16:40:00","2","PARKED",,"719451",,"HONDA","CRV","IL","2015","NONE","PASSENGER","NOT IN USE","W","PARKED",,,"0",,,,,,,,,,,,,,"true","true","true",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757196","JC467665","2019-10-10T16:40:00","1","DRIVER",,"719243",,"DODGE","CHARGER","IL","2010","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
